,VTI_value,cierre_anterior,pct_change_1d,pct_change_5d,pct_change_10d,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2022-11-08,191.66,,,,,3.83,0.0,3.5766666666666667,-0.093,298689.4666666667,0.004,26750347.347826086,0.015,-65583.86666666667,0.386
2022-11-09,187.53,191.66,-2.1548575602629683,,,3.83,0.0,3.5733333333333333,-0.093,298702.5333333333,0.004,26754461.804347824,0.015,-65836.13333333333,0.385
2022-11-10,198.14,187.53,5.657761424838692,,,3.83,0.0,3.5700000000000003,-0.093,298715.6,0.004,26758576.260869566,0.015,-66088.4,0.383
2022-11-11,200.16,198.14,1.0194811749268284,,,3.83,0.0,3.566666666666667,-0.093,298728.6666666667,0.004,26762690.717391305,0.015,-66340.66666666667,0.382
2022-11-14,198.35,200.16,-0.9042765787370066,,,3.83,0.0,3.5566666666666666,-0.094,298767.86666666664,0.004,26775034.086956523,0.015,-67097.46666666666,0.377
2022-11-15,200.36,198.35,1.0133602218301174,4.53928832307211,,3.83,0.0,3.5533333333333332,-0.094,298780.93333333335,0.004,26779148.54347826,0.015,-67349.73333333334,0.376
2022-11-16,198.32,200.36,-1.0181672988620605,5.753746067295884,,3.83,0.0,3.55,-0.094,298794.0,0.004,26783263.0,0.015,-67602.0,0.375
2022-11-17,197.49,198.32,-0.4185155304558208,-0.3280508731200005,,3.83,0.0,3.546666666666667,-0.094,298807.06666666665,0.004,26787377.45652174,0.015,-67854.26666666666,0.373
2022-11-18,198.42,197.49,0.4709099194895927,-0.8693045563549218,,3.83,0.0,3.5433333333333334,-0.094,298820.13333333336,0.004,26791491.913043477,0.015,-68106.53333333334,0.372
2022-11-21,197.58,198.42,-0.4233444209252979,-0.38820267204435766,,3.83,0.0,3.533333333333333,-0.094,298859.3333333333,0.004,26803835.282608695,0.015,-68863.33333333333,0.368
2022-11-22,200.17,197.58,1.3108614232209659,-0.09482930724696859,4.440154440154442,3.83,0.0,3.5300000000000002,-0.094,298872.4,0.004,26807949.739130434,0.015,-69115.6,0.366
2022-11-23,201.39,200.17,0.609481940350709,1.5480032271077082,7.390817469204913,3.83,0.0,3.526666666666667,-0.094,298885.4666666667,0.004,26812064.195652176,0.015,-69367.86666666667,0.365
2022-11-25,201.54,201.39,0.07448234768359097,2.050736746164361,1.7159584132431682,3.83,0.0,3.52,-0.095,298911.6,0.004,26820293.108695652,0.015,-69872.4,0.362
2022-11-28,198.27,201.54,-1.6225066984221437,-0.07559721802236075,-0.9442446043165353,3.83,0.0,3.51,-0.095,298950.8,0.004,26832636.47826087,0.015,-70629.2,0.358
2022-11-29,197.96,198.27,-0.15635244868109632,0.19232715861929872,-0.19662213259389327,3.83,0.0,3.506666666666667,-0.095,298963.86666666664,0.004,26836750.93478261,0.015,-70881.46666666667,0.357
2022-11-30,204.06,197.96,3.081430592038803,1.9433481540690467,1.8466759832301838,3.83,0.0,3.5033333333333334,-0.095,298976.93333333335,0.004,26840865.391304348,0.015,-71133.73333333334,0.356
2022-12-01,204.18,204.06,0.05880623346075087,1.3853716669149474,2.954820492133936,3.83,0.0,3.5,-0.095,298990.0,0.004,26844979.847826086,0.015,-71386.0,0.35500000000000004
2022-12-02,203.99,204.18,-0.09305514741894116,1.2156395752704219,3.29130588890576,3.83,0.0,3.496774193548387,-0.092,299039.87096774194,0.017,26849094.304347824,0.015,-71366.32258064517,-0.027999999999999997
2022-12-05,199.98,203.99,-1.9657826364037567,0.8624602814343962,0.7862110674327294,3.83,0.0,3.4870967741935486,-0.092,299189.48387096776,0.017,26861437.673913043,0.015,-71307.29032258065,-0.027999999999999997
2022-12-06,196.98,199.98,-1.5001500150015001,-0.4950495049505066,-0.303674460977843,3.83,0.0,3.4838709677419355,-0.093,299239.3548387097,0.017,26865552.13043478,0.015,-71287.6129032258,-0.027999999999999997
2022-12-07,196.66,196.98,-0.16245304091785373,-3.626384396746063,-1.753509516910623,3.83,0.0,3.4806451612903224,-0.093,299289.22580645164,0.017,26869666.586956523,0.015,-71267.93548387097,-0.027999999999999997
2022-12-08,198.36,196.66,0.8644360825790898,-2.8504260946223936,-1.5045434232086818,3.83,0.0,3.47741935483871,-0.093,299339.0967741936,0.017,26873781.04347826,0.015,-71248.25806451614,-0.027999999999999997
2022-12-09,196.7,198.36,-0.8368622706190876,-3.5737045933624256,-2.4015083854321717,3.83,0.0,3.4741935483870967,-0.093,299388.96774193546,0.017,26877895.5,0.015,-71228.58064516129,-0.027999999999999997
2022-12-12,199.53,196.7,1.4387391967463303,-0.22502250225021614,0.6354970494779844,3.83,0.0,3.464516129032258,-0.093,299538.5806451613,0.017,26890238.86956522,0.015,-71169.54838709677,-0.027999999999999997
2022-12-13,201.02,199.53,0.7467548739537921,2.0509696415879963,1.545766821580119,3.83,0.0,3.4612903225806453,-0.093,299588.4516129032,0.017,26894353.326086957,0.015,-71149.87096774194,-0.027999999999999997
2022-12-14,199.9,201.02,-0.5571584916923666,1.6475134750330467,-2.0386160933058894,3.83,0.0,3.458064516129032,-0.093,299638.32258064515,0.017,26898467.782608695,0.015,-71130.19354838709,-0.027999999999999997
2022-12-15,194.92,199.9,-2.491245622811411,-1.734220608993764,-4.535214026839074,4.33,13.055,3.454838709677419,-0.093,299688.1935483871,0.017,26902582.239130434,0.015,-71110.51612903226,-0.027999999999999997
2022-12-16,192.69,194.92,-1.1440591011697032,-2.0386375190645567,-5.539487229766172,4.33,0.0,3.4516129032258065,-0.093,299738.06451612903,0.017,26906696.695652176,0.015,-71090.83870967742,-0.027999999999999997
2022-12-19,190.75,192.69,-1.0067984846125921,-4.400340800882074,-4.615461546154609,4.33,0.0,3.4419354838709677,-0.094,299887.67741935485,0.017,26919040.06521739,0.015,-71031.80645161291,-0.027999999999999997
2022-12-20,191.15,190.75,0.20969855832242423,-4.909959208039005,-2.959691339222248,4.33,0.0,3.4387096774193546,-0.094,299937.5483870968,0.017,26923154.52173913,0.015,-71012.12903225806,-0.027999999999999997
2022-12-21,194.04,191.15,1.5119016479204772,-2.931465732866445,-1.3322485507983317,4.33,0.0,3.435483870967742,-0.094,299987.4193548387,0.017,26927268.97826087,0.015,-70992.45161290323,-0.027999999999999997
2022-12-22,190.37,194.04,-1.8913626056483168,-2.334290991175858,-4.028029844726766,4.33,0.0,3.432258064516129,-0.094,300037.29032258067,0.017,26931383.43478261,0.015,-70972.7741935484,-0.027999999999999997
2022-12-23,191.42,190.37,0.5515574933025125,-0.6590897296175235,-2.684290798169797,4.33,0.0,3.429032258064516,-0.094,300087.1612903226,0.017,26935497.891304348,0.015,-70953.09677419355,-0.027999999999999997
2022-12-27,190.62,191.42,-0.41792916100720223,-0.06815203145478232,-4.465493910690121,4.33,0.0,3.4161290322580644,-0.094,300286.6451612903,0.017,26951955.717391305,0.015,-70874.3870967742,-0.027999999999999997
2022-12-28,188.22,190.62,-1.2590494176896505,-1.5328276222861703,-6.367525619341363,4.33,0.0,3.4129032258064513,-0.094,300336.51612903224,0.017,26956070.173913043,0.015,-70854.70967741935,-0.027999999999999997
2022-12-29,191.68,188.22,1.8382743597917361,-1.2162440733869184,-4.112056028014011,4.33,0.0,3.4096774193548387,-0.095,300386.3870967742,0.017,26960184.63043478,0.015,-70835.03225806452,-0.027999999999999997
2022-12-30,191.19,191.68,-0.25563439065109383,0.43074013762671726,-1.9136055817771336,4.33,0.0,3.4064516129032256,-0.095,300436.2580645161,0.017,26964299.086956523,0.015,-70815.35483870968,-0.027999999999999997
2023-01-03,190.41,191.19,-0.40797112819708214,-0.5276355657716003,-1.1832477035653155,4.33,0.0,3.4129032258064513,0.189,300607.7419354839,0.012,26978385.155555554,0.011000000000000001,-70765.87096774194,-0.006999999999999999
2023-01-04,192.1,190.41,0.8875584265532366,0.7764138075752713,0.7077326343381429,4.33,0.0,3.4193548387096775,0.189,300643.6129032258,0.012,26981313.733333334,0.011000000000000001,-70760.80645161291,-0.006999999999999999
2023-01-05,189.85,192.1,-1.1712649661634544,0.8660078631388846,-0.6800941668846483,4.33,0.0,3.425806451612903,0.189,300679.48387096776,0.012,26984242.31111111,0.011000000000000001,-70755.74193548386,-0.006999999999999999
2023-01-06,194.04,189.85,2.2070055306821157,1.2312186978297168,0.0,4.33,0.0,3.432258064516129,0.188,300715.3548387097,0.012,26987170.888888888,0.011000000000000001,-70750.67741935483,-0.006999999999999999
2023-01-09,194.12,194.04,0.041228612657184804,1.5325069302787764,1.9698481903661191,4.33,0.0,3.4516129032258065,0.187,300822.96774193546,0.012,26995956.622222222,0.011000000000000001,-70735.48387096774,-0.006999999999999999
2023-01-10,195.65,194.12,0.7881722645786127,2.751956304815928,2.2098004388256376,4.33,0.0,3.458064516129032,0.187,300858.8387096774,0.012,26998885.2,0.011000000000000001,-70730.41935483871,-0.006999999999999999
2023-01-11,198.23,195.65,1.318681318681314,3.19104633003644,3.9922358619242315,4.33,0.0,3.464516129032258,0.187,300894.70967741933,0.012,27001813.777777776,0.011000000000000001,-70725.35483870968,-0.006999999999999999
2023-01-12,199.19,198.23,0.48428593048479573,4.919673426389259,5.828286048241416,4.33,0.0,3.4709677419354836,0.186,300930.5806451613,0.012,27004742.355555557,0.011000000000000001,-70720.29032258065,-0.006999999999999999
2023-01-13,200.04,199.19,0.4267282494101021,3.092145949288816,4.36143572621035,4.33,0.0,3.47741935483871,0.186,300966.4516129032,0.012,27007670.933333334,0.011000000000000001,-70715.2258064516,-0.006999999999999999
2023-01-17,199.77,200.04,-0.13497300539890844,2.910570780960242,4.487682410167904,4.33,0.0,3.503225806451613,0.185,301109.93548387097,0.012,27019385.244444445,0.011000000000000001,-70694.96774193548,-0.006999999999999999
2023-01-18,196.62,199.77,-1.5768133353356362,0.49578328648096637,3.2613833307074236,4.33,0.0,3.509677419354839,0.184,301145.8064516129,0.012,27022313.82222222,0.011000000000000001,-70689.90322580645,-0.006999999999999999
2023-01-19,195.02,196.62,-0.8137524158274845,-1.619331080058506,1.5200416449765886,4.33,0.0,3.5161290322580645,0.184,301181.67741935485,0.012,27025242.4,0.011000000000000001,-70684.83870967742,-0.006999999999999999
2023-01-20,198.76,195.02,1.9177520254332725,-0.21587429087805976,4.6931788253884665,4.33,0.0,3.52258064516129,0.183,301217.5483870968,0.012,27028170.97777778,0.011000000000000001,-70679.7741935484,-0.006999999999999999
2023-01-23,201.28,198.76,1.2678607365667283,0.6198760247950519,3.7311894454751693,4.33,0.0,3.541935483870968,0.182,301325.1612903226,0.012,27036956.71111111,0.011000000000000001,-70664.58064516129,-0.006999999999999999
2023-01-24,200.95,201.28,-0.16395071542131268,0.5906792811733341,3.518442200700589,4.33,0.0,3.5483870967741935,0.182,301361.03225806454,0.012,27039885.28888889,0.011000000000000001,-70659.51612903226,-0.006999999999999999
2023-01-25,201.05,200.95,0.04976362279174307,2.2530770013223567,2.760030667007407,4.33,0.0,3.554838709677419,0.182,301396.9032258064,0.012,27042813.866666667,0.011000000000000001,-70654.45161290323,-0.006999999999999999
2023-01-26,203.12,201.05,1.0295946282019353,4.15342016203466,2.466831458406915,4.33,0.0,3.5612903225806454,0.181,301432.77419354836,0.012,27045742.444444444,0.011000000000000001,-70649.3870967742,-0.006999999999999999
2023-01-27,203.94,203.12,0.4037022449783434,2.606158180720475,2.3846578643506255,4.33,0.0,3.567741935483871,0.181,301468.6451612903,0.012,27048671.02222222,0.011000000000000001,-70644.32258064517,-0.006999999999999999
2023-01-30,201.21,203.94,-1.3386290085319108,-0.03477742448330101,0.5848830233953217,4.33,0.0,3.5870967741935487,0.18,301576.2580645161,0.012,27057456.755555555,0.011000000000000001,-70629.12903225806,-0.006999999999999999
2023-01-31,204.43,201.21,1.6003180756423596,1.7317740731525255,2.332682584972723,4.33,0.0,3.5935483870967744,0.18,301612.12903225806,0.012,27060385.333333332,0.011000000000000001,-70624.06451612903,-0.006999999999999999
2023-02-01,206.92,204.43,1.2180208384287905,2.9196717234518665,5.238531176889416,4.33,0.0,3.6,0.18,301648.0,0.012,27063313.911111113,0.011000000000000001,-70619.0,-0.006999999999999999
2023-02-02,210.01,206.92,1.4933307558476772,3.392083497439935,7.686391139370308,4.58,5.774,3.5964285714285715,-0.099,301653.71428571426,0.002,27066242.48888889,0.011000000000000001,-70254.14285714286,-0.517
2023-02-03,207.84,210.01,-1.0332841293271722,1.9123271550456122,4.568323606359437,4.58,0.0,3.592857142857143,-0.099,301659.4285714286,0.002,27069171.066666666,0.011000000000000001,-69889.28571428571,-0.519
2023-02-06,206.28,207.84,-0.7505773672055405,2.5197554793499277,2.484101748807621,4.58,0.0,3.5821428571428573,-0.1,301676.5714285714,0.002,27077956.8,0.011000000000000001,-68794.71428571429,-0.528
2023-02-07,208.88,206.28,1.2604227263913081,2.1767842293205497,3.9462552873849255,4.58,0.0,3.5785714285714287,-0.1,301682.28571428574,0.002,27080885.377777778,0.011000000000000001,-68429.85714285714,-0.53
2023-02-08,206.65,208.88,-1.0675986212179245,-0.13048521167600136,2.785376771947279,4.58,0.0,3.575,-0.1,301688.0,0.002,27083813.955555554,0.011000000000000001,-68065.0,-0.5329999999999999
2023-02-09,204.64,206.65,-0.9726590854101214,-2.5570210942336136,0.748326112642772,4.57,-0.218,3.5714285714285716,-0.1,301693.71428571426,0.002,27086742.533333335,0.011000000000000001,-67700.14285714286,-0.536
2023-02-10,205.01,204.64,0.18080531665363164,-1.361624326404931,0.5246641168971333,4.58,0.219,3.567857142857143,-0.1,301699.4285714286,0.002,27089671.111111112,0.011000000000000001,-67335.28571428571,-0.539
2023-02-13,207.45,205.01,1.1901858445929392,0.5671902268760798,3.101237513046051,4.58,0.0,3.5571428571428574,-0.1,301716.5714285714,0.002,27098456.844444446,0.011000000000000001,-66240.71428571429,-0.5479999999999999
2023-02-14,207.53,207.45,0.03856350927935459,-0.6463040980467238,1.5164114855940936,4.58,0.0,3.553571428571429,-0.1,301722.28571428574,0.002,27101385.422222223,0.011000000000000001,-65875.85714285714,-0.551
2023-02-15,208.46,207.53,0.4481279814966488,0.8758770868618537,0.7442489851150258,4.58,0.0,3.55,-0.101,301728.0,0.002,27104314.0,0.011000000000000001,-65511.0,-0.5539999999999999
2023-02-16,205.68,208.46,-1.3335891777799147,0.5082095387021202,-2.061806580639014,4.58,0.0,3.5464285714285713,-0.101,301733.71428571426,0.002,27107242.577777777,0.011000000000000001,-65146.142857142855,-0.557
2023-02-17,205.08,205.68,-0.29171528588097795,0.03414467586948522,-1.327944572748263,4.58,0.0,3.5428571428571427,-0.101,301739.4285714286,0.002,27110171.155555554,0.011000000000000001,-64781.28571428572,-0.5599999999999999
2023-02-21,200.83,205.08,-2.0723620050711933,-3.1911303928657375,-2.642039945704866,4.58,0.0,3.5285714285714285,-0.101,301762.28571428574,0.002,27121885.466666665,0.011000000000000001,-63321.857142857145,-0.573
2023-02-22,200.66,200.83,-0.0846487078623781,-3.310364766539775,-3.9352738414400568,4.58,0.0,3.525,-0.101,301768.0,0.002,27124814.044444446,0.011000000000000001,-62957.0,-0.5760000000000001
2023-02-23,201.73,200.66,0.5332403069869374,-3.2284371102369813,-2.3808371642874526,4.58,0.0,3.5214285714285714,-0.101,301773.71428571426,0.002,27127742.622222222,0.011000000000000001,-62592.142857142855,-0.58
2023-02-24,199.48,201.73,-1.1153522034402452,-3.0143912874368017,-2.5215011727912406,4.58,0.0,3.517857142857143,-0.101,301779.4285714286,0.002,27130671.2,0.011000000000000001,-62227.28571428572,-0.583
2023-02-27,200.19,199.48,0.35592540605575707,-2.3844353423054465,-2.351104824154915,4.57,-0.218,3.507142857142857,-0.10200000000000001,301796.5714285714,0.002,27139456.933333334,0.011000000000000001,-61132.71428571429,-0.5930000000000001
2023-02-28,199.52,200.19,-0.33468205205055,-0.6522929841159208,-3.822607857315008,4.57,0.0,3.5035714285714286,-0.10200000000000001,301802.28571428574,0.002,27142385.51111111,0.011000000000000001,-60767.857142857145,-0.597
2023-03-01,200.0,199.52,0.2405773857257376,-0.32891458187979117,-3.6283910759890126,4.58,0.219,3.5,-0.10200000000000001,301808.0,0.002,27145314.088888887,0.011000000000000001,-60403.0,-0.6
2023-03-02,200.31,200.0,0.15499999999999403,-0.7039111683933896,-3.9096229492468604,4.57,-0.218,3.496774193548387,-0.092,301843.8064516129,0.012,27148242.666666668,0.011000000000000001,-60805.967741935485,0.6669999999999999
2023-03-03,203.57,200.31,1.6274774100144773,2.0503308602366266,-1.0258654220147823,4.57,0.0,3.4935483870967743,-0.092,301879.6129032258,0.012,27151171.244444445,0.011000000000000001,-61208.93548387097,0.6629999999999999
2023-03-06,203.3,203.57,-0.13263250970181328,1.5535241520555632,-0.8679539691827554,4.57,0.0,3.4838709677419355,-0.093,301987.03225806454,0.012,27159956.97777778,0.011000000000000001,-62417.83870967742,0.65
2023-03-07,200.27,203.3,-1.4904082636497784,0.37590216519647335,-0.27884280237016057,4.57,0.0,3.4806451612903224,-0.093,302022.8387096774,0.012,27162885.555555556,0.011000000000000001,-62820.8064516129,0.6459999999999999
2023-03-08,200.53,200.27,0.12982473660558824,0.2650000000000041,-0.06478620552177183,4.57,0.0,3.47741935483871,-0.093,302058.6451612903,0.012,27165814.133333333,0.011000000000000001,-63223.77419354839,0.641
2023-03-09,196.57,200.53,-1.9747668678003372,-1.8671059857221395,-2.5578743865562914,4.57,0.0,3.4741935483870967,-0.093,302094.4516129032,0.012,27168742.71111111,0.011000000000000001,-63626.74193548387,0.637
2023-03-10,193.26,196.57,-1.6838785165589898,-5.064596944539968,-3.1181070784038534,4.57,0.0,3.4709677419354836,-0.093,302130.2580645161,0.012,27171671.28888889,0.011000000000000001,-64029.709677419356,0.633
2023-03-13,192.46,193.26,-0.41395011901065315,-5.332021642892282,-3.8613317348518805,4.58,0.219,3.4612903225806453,-0.093,302237.67741935485,0.012,27180457.02222222,0.011000000000000001,-65238.6129032258,0.622
2023-03-14,195.89,192.46,1.7821885067026866,-2.187047485894056,-1.8193664795509323,4.58,0.0,3.458064516129032,-0.093,302273.48387096776,0.012,27183385.6,0.011000000000000001,-65641.58064516129,0.618
2023-03-15,194.38,195.89,-0.7708407779876469,-3.06687278711415,-2.8100000000000014,4.58,0.0,3.454838709677419,-0.093,302309.29032258067,0.012,27186314.17777778,0.011000000000000001,-66044.54838709677,0.614
2023-03-16,197.74,194.38,1.7285728984463455,0.595207814010279,-1.2830113324347248,4.58,0.0,3.4516129032258065,-0.093,302345.0967741936,0.012,27189242.755555555,0.011000000000000001,-66447.51612903226,0.61
2023-03-17,195.19,197.74,-1.28957216546981,0.9986546621132186,-4.1165201159306335,4.58,0.0,3.4483870967741934,-0.093,302380.9032258064,0.012,27192171.333333332,0.011000000000000001,-66850.48387096774,0.606
2023-03-20,196.89,195.19,0.8709462574926885,2.30177699262184,-3.1529758976881594,4.58,0.0,3.4387096774193546,-0.094,302488.32258064515,0.012,27200957.066666666,0.011000000000000001,-68059.3870967742,0.596
2023-03-21,199.7,196.89,1.4271928487988195,1.9449691153198279,-0.2846157687122486,4.58,0.0,3.435483870967742,-0.094,302524.12903225806,0.012,27203885.644444443,0.011000000000000001,-68462.35483870968,0.592
2023-03-22,196.13,199.7,-1.7876815222834241,0.9002983846074786,-2.1941854086670376,4.58,0.0,3.432258064516129,-0.094,302559.93548387097,0.012,27206814.222222224,0.011000000000000001,-68865.32258064517,0.5890000000000001
